GENDER,CAR,REALITY,NO_OF_CHILD,INCOME,INCOME_TYPE,EDUCATION_TYPE,FAMILY_TYPE,HOUSE_TYPE,WORK_PHONE,PHONE,E_MAIL,FAMILY SIZE,BEGIN_MONTH,AGE,YEARS_EMPLOYED,TARGET
1,1,1,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,4.0,27,43,9,0
1,1,1,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,4.0,10,43,9,0
1,1,1,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,4.0,4,43,9,0
1,1,1,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,4.0,3,43,9,0
1,1,1,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,4.0,3,43,9,0
1,1,1,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,4.0,2,43,9,0
1,1,1,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,4.0,2,43,9,0
1,1,1,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,4.0,2,43,9,0
1,1,1,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,4.0,8,43,9,0
1,1,1,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,4.0,19,43,9,0
1,1,1,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,4.0,25,43,9,0
1,1,1,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,4.0,18,43,9,0
1,0,1,1,211500.0,State servant,Secondary / secondary special,Civil marriage,House / apartment,0,0,0,3.0,24,44,19,0
1,0,1,1,211500.0,State servant,Secondary / secondary special,Civil marriage,House / apartment,0,0,0,3.0,20,44,19,0
0,1,1,0,360000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0,1,0,2.0,10,46,15,0
1,0,1,2,126000.0,Commercial associate,Higher education,Married,House / apartment,0,0,1,4.0,21,34,5,0
1,0,1,2,126000.0,Commercial associate,Higher education,Married,House / apartment,0,0,1,4.0,45,34,5,0
1,0,1,2,126000.0,Commercial associate,Higher education,Married,House / apartment,0,0,1,4.0,39,34,5,0
1,0,1,2,126000.0,Commercial associate,Higher education,Married,House / apartment,0,0,1,4.0,43,34,5,0
1,0,1,2,126000.0,Commercial associate,Higher education,Married,House / apartment,0,0,1,4.0,7,34,5,0
1,0,1,2,126000.0,Commercial associate,Higher education,Married,House / apartment,0,0,1,4.0,43,34,5,0
1,0,1,2,126000.0,Commercial associate,Higher education,Married,House / apartment,0,0,1,4.0,21,34,5,0
1,0,1,2,126000.0,Commercial associate,Higher education,Married,House / apartment,0,0,1,4.0,10,34,5,0
1,0,1,2,126000.0,Commercial associate,Higher education,Married,House / apartment,0,0,1,4.0,19,34,5,0
1,0,1,2,126000.0,Commercial associate,Higher education,Married,House / apartment,0,0,1,4.0,45,34,5,0
1,0,1,0,247500.0,Commercial associate,Higher education,Separated,Rented apartment,0,0,0,1.0,11,47,4,0
1,0,1,0,247500.0,Commercial associate,Higher education,Separated,Rented apartment,0,0,0,1.0,4,47,4,0
1,0,1,0,247500.0,Commercial associate,Higher education,Separated,Rented apartment,0,0,0,1.0,48,47,4,0
1,0,1,0,247500.0,Commercial associate,Higher education,Separated,Rented apartment,0,0,0,1.0,25,47,4,0
1,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,0,0,0,1.0,7,43,9,0
1,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,0,0,0,1.0,37,43,9,0
1,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,0,0,0,1.0,36,43,9,0
1,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,0,0,0,1.0,36,43,9,0
1,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,0,0,0,1.0,34,43,9,0
1,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,0,0,0,1.0,34,43,9,0
1,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,0,0,0,1.0,32,43,9,0
1,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,0,0,0,1.0,31,43,9,0
1,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,0,0,0,1.0,30,43,9,0
1,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,0,0,0,1.0,29,43,9,0
1,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,0,0,0,1.0,27,43,9,0
1,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,0,0,0,1.0,27,43,9,0
1,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,0,0,0,1.0,27,43,9,0
1,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,0,0,0,1.0,26,43,9,0
1,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,0,0,0,1.0,25,43,9,0
1,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,0,0,0,1.0,24,43,9,0
1,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,0,0,0,1.0,23,43,9,0
1,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,0,0,0,1.0,22,43,9,0
1,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,0,0,0,1.0,22,43,9,0
1,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,0,0,0,1.0,21,43,9,0
1,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,0,0,0,1.0,21,43,9,0
1,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,0,0,0,1.0,20,43,9,0
1,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,0,0,0,1.0,19,43,9,0
1,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,0,0,0,1.0,18,43,9,0
1,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,0,0,0,1.0,18,43,9,0
1,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,0,0,0,1.0,17,43,9,0
1,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,0,0,0,1.0,17,43,9,0
1,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,0,0,0,1.0,16,43,9,0
1,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,0,0,0,1.0,15,43,9,0
1,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,0,0,0,1.0,15,43,9,0
1,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,0,0,0,1.0,13,43,9,0
1,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,0,0,0,1.0,13,43,9,0
1,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,0,0,0,1.0,12,43,9,0
1,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,0,0,0,1.0,12,43,9,0
1,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,0,0,0,1.0,12,43,9,0
1,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,0,0,0,1.0,11,43,9,0
1,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,0,0,0,1.0,9,43,9,0
1,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,0,0,0,1.0,9,43,9,0
1,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,0,0,0,1.0,7,43,9,0
1,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,0,0,0,1.0,6,43,9,0
1,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,0,0,0,1.0,5,43,9,0
1,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,0,0,0,1.0,5,43,9,0
1,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,0,0,0,1.0,5,43,9,0
1,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,0,0,0,1.0,4,43,9,0
1,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,0,0,0,1.0,4,43,9,0
1,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,0,0,0,1.0,3,43,9,0
1,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,0,0,0,1.0,1,43,9,0
1,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,0,0,0,1.0,1,43,9,0
1,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,0,0,0,1.0,0,43,9,0
1,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,0,0,0,1.0,1,43,9,0
1,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,0,0,0,1.0,7,43,9,0
1,0,0,0,157500.0,Commercial associate,Higher education,Married,House / apartment,0,1,0,2.0,43,37,13,0
1,0,0,0,157500.0,Commercial associate,Higher education,Married,House / apartment,0,1,0,2.0,14,37,13,0
1,0,0,0,157500.0,Commercial associate,Higher education,Married,House / apartment,0,1,0,2.0,23,37,13,0
1,0,0,0,157500.0,Commercial associate,Higher education,Married,House / apartment,0,1,0,2.0,30,37,13,0
1,0,0,0,157500.0,Commercial associate,Higher education,Married,House / apartment,0,1,0,2.0,48,37,13,0
0,0,1,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,1,1,0,2.0,12,42,4,0
0,0,1,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,1,1,0,2.0,17,42,4,0
0,0,1,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,1,1,0,2.0,0,42,4,0
0,0,1,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,1,1,0,2.0,12,42,4,0
1,1,1,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,2.0,4,49,5,0
1,1,1,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,2.0,39,49,5,0
1,1,1,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,2.0,51,49,5,0
1,1,1,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,2.0,3,49,5,0
1,1,1,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,2.0,15,49,5,0
1,1,1,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,2.0,28,49,5,0
1,1,1,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,2.0,26,49,5,0
1,1,1,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,2.0,38,49,5,0
0,1,1,0,112500.0,State servant,Secondary / secondary special,Married,House / apartment,0,1,0,2.0,10,57,7,0
0,1,1,0,112500.0,State servant,Secondary / secondary special,Married,House / apartment,0,1,0,2.0,58,57,7,0
0,1,1,0,112500.0,State servant,Secondary / secondary special,Married,House / apartment,0,1,0,2.0,58,57,7,0
0,1,1,0,112500.0,State servant,Secondary / secondary special,Married,House / apartment,0,1,0,2.0,10,57,7,0
0,1,1,0,112500.0,State servant,Secondary / secondary special,Married,House / apartment,0,1,0,2.0,10,57,7,0
0,1,1,0,112500.0,State servant,Secondary / secondary special,Married,House / apartment,0,1,0,2.0,16,57,7,0
1,1,1,0,270000.0,Working,Secondary / secondary special,Separated,House / apartment,1,1,0,1.0,30,45,3,0
1,1,1,0,270000.0,Working,Secondary / secondary special,Separated,House / apartment,1,1,0,1.0,6,45,3,0
1,1,1,0,270000.0,Working,Secondary / secondary special,Separated,House / apartment,1,1,0,1.0,17,45,3,0
1,1,1,0,270000.0,Working,Secondary / secondary special,Separated,House / apartment,1,1,0,1.0,19,45,3,0
1,1,1,0,270000.0,Working,Secondary / secondary special,Separated,House / apartment,1,1,0,1.0,28,45,3,0
1,1,1,0,270000.0,Working,Secondary / secondary special,Separated,House / apartment,1,1,0,1.0,21,45,3,0
1,1,1,0,270000.0,Working,Higher education,Married,House / apartment,0,0,1,2.0,4,29,2,0
1,1,1,0,270000.0,Working,Higher education,Married,House / apartment,0,0,1,2.0,24,29,2,0
0,1,1,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,2.0,22,27,2,0
0,0,1,0,166500.0,Working,Secondary / secondary special,Married,House / apartment,1,1,0,2.0,40,52,17,0
0,0,1,0,166500.0,Working,Secondary / secondary special,Married,House / apartment,1,1,0,2.0,44,52,17,0
0,0,1,0,166500.0,Working,Secondary / secondary special,Married,House / apartment,1,1,0,2.0,35,52,17,0
0,0,1,0,166500.0,Working,Secondary / secondary special,Married,House / apartment,1,1,0,2.0,45,52,17,0
0,0,1,0,166500.0,Working,Secondary / secondary special,Married,House / apartment,1,1,0,2.0,59,52,17,0
0,0,1,0,166500.0,Working,Secondary / secondary special,Married,House / apartment,1,1,0,2.0,9,52,17,0
0,0,1,0,166500.0,Working,Secondary / secondary special,Married,House / apartment,1,1,0,2.0,32,52,17,0
0,0,1,0,166500.0,Working,Secondary / secondary special,Married,House / apartment,1,1,0,2.0,12,52,17,0
0,0,1,0,166500.0,Working,Secondary / secondary special,Married,House / apartment,1,1,0,2.0,5,52,17,0
0,0,1,0,166500.0,Working,Secondary / secondary special,Married,House / apartment,1,1,0,2.0,35,52,17,0
1,1,1,0,270000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0,0,1,2.0,21,54,30,0
1,1,1,0,270000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0,0,1,2.0,40,54,30,0
1,1,1,0,225000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0,0,0,2.0,17,40,8,0
1,1,1,0,225000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0,0,0,2.0,15,40,8,0
1,0,1,0,315000.0,Working,Secondary / secondary special,Single / not married,House / apartment,0,0,0,1.0,13,29,3,0
1,0,1,0,315000.0,Working,Secondary / secondary special,Single / not married,House / apartment,0,0,0,1.0,13,29,3,0
1,0,1,2,157500.0,Working,Secondary / secondary special,Single / not married,House / apartment,0,0,0,3.0,8,39,2,0
1,0,1,2,157500.0,Working,Secondary / secondary special,Single / not married,House / apartment,0,0,0,3.0,3,39,2,0
1,0,1,0,148500.0,Working,Higher education,Married,House / apartment,0,0,0,2.0,20,48,2,0
1,0,1,0,148500.0,Working,Higher education,Married,House / apartment,0,0,0,2.0,20,48,2,0
1,0,1,0,148500.0,Working,Higher education,Married,House / apartment,0,0,0,2.0,18,48,2,0
1,0,1,0,148500.0,Working,Higher education,Married,House / apartment,0,0,0,2.0,17,48,2,0
1,0,1,0,148500.0,Working,Higher education,Married,House / apartment,0,0,0,2.0,7,48,2,0
1,0,1,0,148500.0,Working,Higher education,Married,House / apartment,0,0,0,2.0,11,48,2,0
1,0,1,2,202500.0,Working,Higher education,Married,House / apartment,0,0,1,4.0,34,30,6,0
1,0,1,2,202500.0,Working,Higher education,Married,House / apartment,0,0,1,4.0,56,30,6,0
1,0,1,2,202500.0,Working,Higher education,Married,House / apartment,0,0,1,4.0,47,30,6,0
1,0,1,2,202500.0,Working,Higher education,Married,House / apartment,0,0,1,4.0,51,30,6,0
1,0,1,2,202500.0,Working,Higher education,Married,House / apartment,0,0,1,4.0,55,30,6,0
0,0,1,0,202500.0,Working,Secondary / secondary special,Single / not married,House / apartment,1,0,0,1.0,24,24,2,0
0,0,1,0,202500.0,Working,Secondary / secondary special,Single / not married,House / apartment,1,0,0,1.0,9,24,2,0
1,1,1,0,112500.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,0,1,1,1.0,0,21,2,0
0,1,1,0,315000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,0,0,0,2.0,45,29,6,0
0,1,1,0,315000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,0,0,0,2.0,27,29,6,0
0,1,1,0,315000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,0,0,0,2.0,4,29,6,0
0,1,1,0,315000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,0,0,0,2.0,10,29,6,0
0,1,1,0,315000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,0,0,0,2.0,15,29,6,0
0,1,1,0,315000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,0,0,0,2.0,36,29,6,0
0,1,1,0,315000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,0,0,0,2.0,22,29,6,0
0,1,1,0,315000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,0,0,0,2.0,35,29,6,0
0,1,1,0,315000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,0,0,0,2.0,39,29,6,0
1,1,1,0,270000.0,Commercial associate,Incomplete higher,Civil marriage,Municipal apartment,0,1,1,2.0,20,28,9,0
1,1,1,0,270000.0,Commercial associate,Incomplete higher,Civil marriage,Municipal apartment,0,1,1,2.0,43,28,9,0
1,1,1,1,450000.0,State servant,Higher education,Married,House / apartment,0,1,1,3.0,22,49,2,0
1,1,1,1,450000.0,State servant,Higher education,Married,House / apartment,0,1,1,3.0,28,49,2,0
0,0,1,1,180000.0,Working,Secondary / secondary special,Married,With parents,0,0,0,3.0,30,39,4,0
1,0,1,0,112500.0,Working,Higher education,Civil marriage,House / apartment,0,0,1,2.0,43,28,9,0
1,0,1,0,112500.0,Working,Higher education,Civil marriage,House / apartment,0,0,1,2.0,15,28,9,0
1,0,1,0,112500.0,Working,Higher education,Civil marriage,House / apartment,0,0,1,2.0,19,28,9,0
0,0,1,0,90000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,2.0,51,56,16,0
0,0,1,0,90000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,2.0,2,56,16,0
0,1,0,2,202500.0,Commercial associate,Higher education,Married,House / apartment,0,0,0,4.0,46,40,8,0
0,1,0,2,202500.0,Commercial associate,Higher education,Married,House / apartment,0,0,0,4.0,39,40,8,0
0,1,1,0,247500.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,2.0,13,35,11,0
0,1,1,1,765000.0,Working,Higher education,Married,House / apartment,1,0,0,3.0,3,33,3,0
0,1,1,1,765000.0,Working,Higher education,Married,House / apartment,1,0,0,3.0,3,33,3,0
0,1,1,1,765000.0,Working,Higher education,Married,House / apartment,1,0,0,3.0,3,33,3,0
1,0,1,1,270000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0,0,1,3.0,24,37,12,0
1,0,1,1,270000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0,0,1,3.0,33,37,12,0
1,0,1,1,270000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0,0,1,3.0,17,37,12,0
1,0,1,0,315000.0,Working,Higher education,Separated,House / apartment,0,0,0,1.0,56,36,2,0
1,0,1,0,315000.0,Working,Higher education,Separated,House / apartment,0,0,0,1.0,27,36,2,0
0,1,1,2,157500.0,Working,Secondary / secondary special,Married,With parents,0,1,0,4.0,38,35,11,0
0,1,1,2,157500.0,Working,Secondary / secondary special,Married,With parents,0,1,0,4.0,27,35,11,0
0,1,1,2,157500.0,Working,Secondary / secondary special,Married,With parents,0,1,0,4.0,30,35,11,0
0,1,1,2,157500.0,Working,Secondary / secondary special,Married,With parents,0,1,0,4.0,60,35,11,0
0,1,1,2,157500.0,Working,Secondary / secondary special,Married,With parents,0,1,0,4.0,25,35,11,0
0,0,1,0,360000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0,0,0,2.0,7,42,8,0
0,0,1,0,360000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0,0,0,2.0,20,42,8,0
1,0,1,0,112500.0,Commercial associate,Higher education,Married,House / apartment,0,0,1,2.0,3,24,1,0
1,0,0,0,135000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,1,1,0,2.0,33,26,4,0
1,0,0,0,135000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,1,1,0,2.0,11,26,4,0
0,1,0,0,315000.0,Working,Higher education,Married,House / apartment,1,1,0,2.0,36,43,10,0
0,1,0,0,315000.0,Working,Higher education,Married,House / apartment,1,1,0,2.0,36,43,10,0
0,1,0,0,315000.0,Working,Higher education,Married,House / apartment,1,1,0,2.0,12,43,10,0
0,1,0,0,315000.0,Working,Higher education,Married,House / apartment,1,1,0,2.0,7,43,10,0
0,1,0,0,315000.0,Working,Higher education,Married,House / apartment,1,1,0,2.0,17,43,10,0
1,0,0,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,2.0,29,54,8,0
1,0,0,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,2.0,47,54,8,0
1,0,0,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,2.0,53,54,8,0
1,0,0,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,2.0,28,54,8,0
1,0,0,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,2.0,27,54,8,0
1,0,0,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,2.0,17,54,8,0
1,0,0,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,2.0,55,54,8,0
1,0,0,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,2.0,43,54,8,0
1,0,0,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,2.0,14,54,8,0
1,0,0,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,2.0,21,54,8,0
1,0,0,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,2.0,23,54,8,0
1,0,0,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,2.0,56,54,8,0
1,0,0,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,0,1,0,2.0,12,35,9,0
1,0,0,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,0,1,0,2.0,29,35,9,0
1,0,0,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,0,1,0,2.0,41,35,9,0
1,0,0,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,0,1,0,2.0,16,35,9,0
1,0,0,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,0,1,0,2.0,38,35,9,0
0,1,0,0,229500.0,Working,Incomplete higher,Married,Co-op apartment,0,0,0,2.0,49,50,3,0
0,1,0,0,229500.0,Working,Incomplete higher,Married,Co-op apartment,0,0,0,2.0,34,50,3,0
0,1,0,0,229500.0,Working,Incomplete higher,Married,Co-op apartment,0,0,0,2.0,51,50,3,0
0,1,0,0,229500.0,Working,Incomplete higher,Married,Co-op apartment,0,0,0,2.0,38,50,3,0
0,1,0,0,229500.0,Working,Incomplete higher,Married,Co-op apartment,0,0,0,2.0,12,50,3,0
0,1,0,0,229500.0,Working,Incomplete higher,Married,Co-op apartment,0,0,0,2.0,34,50,3,0
0,1,0,0,229500.0,Working,Incomplete higher,Married,Co-op apartment,0,0,0,2.0,31,50,3,0
